Step:29200 K-loss:tensor([4.7429e-06], device='cuda:0', dtype=torch.float64)
Step:29300 K-loss:tensor([3.8420e-06], device='cuda:0', dtype=torch.float64)
Step:29400 K-loss:tensor([2.8367e-06], device='cuda:0', dtype=torch.float64)
Step:29500 K-loss:tensor([5.8188e-06], device='cuda:0', dtype=torch.float64)
Step:29600 K-loss:tensor([6.9992e-06], device='cuda:0', dtype=torch.float64)
Step:29700 K-loss:tensor([4.9456e-06], device='cuda:0', dtype=torch.float64)
Step:29800 K-loss:tensor([3.7985e-06], device='cuda:0', dtype=torch.float64)
Step:29900 K-loss:tensor([1.9244e-06], device='cuda:0', dtype=torch.float64)
Step:30000 K-loss:tensor([6.2345e-06], device='cuda:0', dtype=torch.float64)
Step:30100 K-loss:tensor([2.3719e-06], device='cuda:0', dtype=torch.float64)
Step:30200 K-loss:tensor([2.8642e-06], device='cuda:0', dtype=torch.float64)
Step:30300 K-loss:tensor([7.3814e-05], device='cuda:0', dtype=torch.float64)
Step:30400 K-loss:tensor([1.4661e-06], device='cuda:0', dtype=torch.float64)
Step:30500 K-loss:tensor([2.7257e-05], device='cuda:0', dtype=torch.float64)
Step:30600 K-loss:tensor([1.6109e-06], device='cuda:0', dtype=torch.float64)
Step:30700 K-loss:tensor([1.5440e-06], device='cuda:0', dtype=torch.float64)
Step:30800 K-loss:tensor([2.6248e-06], device='cuda:0', dtype=torch.float64)
Step:30900 K-loss:tensor([5.1331e-06], device='cuda:0', dtype=torch.float64)
Step:31000 K-loss:tensor([5.1147e-06], device='cuda:0', dtype=torch.float64)
Step:31100 K-loss:tensor([1.5403e-06], device='cuda:0', dtype=torch.float64)
Step:31200 K-loss:tensor([1.4716e-06], device='cuda:0', dtype=torch.float64)
Step:31300 K-loss:tensor([2.1361e-06], device='cuda:0', dtype=torch.float64)
Step:31400 K-loss:tensor([1.5780e-06], device='cuda:0', dtype=torch.float64)
Step:31500 K-loss:tensor([1.1162e-05], device='cuda:0', dtype=torch.float64)
Step:31600 K-loss:tensor([1.8277e-06], device='cuda:0', dtype=torch.float64)
Step:31700 K-loss:tensor([3.0993e-06], device='cuda:0', dtype=torch.float64)
Step:31800 K-loss:tensor([1.7308e-06], device='cuda:0', dtype=torch.float64)
Step:31900 K-loss:tensor([9.7076e-07], device='cuda:0', dtype=torch.float64)
Step:32000 K-loss:tensor([3.0329e-06], device='cuda:0', dtype=torch.float64)
Step:32100 K-loss:tensor([1.3391e-06], device='cuda:0', dtype=torch.float64)
Step:32200 K-loss:tensor([1.4549e-06], device='cuda:0', dtype=torch.float64)
Step:32300 K-loss:tensor([8.6513e-06], device='cuda:0', dtype=torch.float64)
Step:32400 K-loss:tensor([7.3776e-06], device='cuda:0', dtype=torch.float64)
Step:32500 K-loss:tensor([8.9649e-06], device='cuda:0', dtype=torch.float64)
Step:32600 K-loss:tensor([2.1459e-06], device='cuda:0', dtype=torch.float64)
Step:32700 K-loss:tensor([3.0443e-06], device='cuda:0', dtype=torch.float64)
Step:32800 K-loss:tensor([4.5091e-06], device='cuda:0', dtype=torch.float64)
Step:32900 K-loss:tensor([3.4398e-06], device='cuda:0', dtype=torch.float64)
Step:33000 K-loss:tensor([2.1758e-06], device='cuda:0', dtype=torch.float64)
Step:33100 K-loss:tensor([1.1553e-06], device='cuda:0', dtype=torch.float64)
Step:33200 K-loss:tensor([3.4964e-06], device='cuda:0', dtype=torch.float64)
Step:33300 K-loss:tensor([1.0720e-06], device='cuda:0', dtype=torch.float64)
Step:33400 K-loss:tensor([9.6778e-07], device='cuda:0', dtype=torch.float64)
Step:33500 K-loss:tensor([5.9776e-06], device='cuda:0', dtype=torch.float64)
Step:33600 K-loss:tensor([1.5671e-06], device='cuda:0', dtype=torch.float64)
Step:33700 K-loss:tensor([1.4987e-06], device='cuda:0', dtype=torch.float64)
Step:33800 K-loss:tensor([3.6656e-06], device='cuda:0', dtype=torch.float64)
Step:33900 K-loss:tensor([3.0810e-06], device='cuda:0', dtype=torch.float64)
Step:34000 K-loss:tensor([3.6858e-06], device='cuda:0', dtype=torch.float64)
